meanHue, mom1, mom2, mom3, mom4, mom5, mom6, mom7,stdDevHue,entropy,area,distance,class
0.0269355, 0.0016395,6.51403e-007,1.45579e-009,2.30013e-009,4.06047e-018,1.84607e-012,-1.10828e-018,28.4075,1.23247,18583,759,bicchiere
0.0275953, 0.00190987,4.38151e-007,2.79827e-009,3.21427e-009,-1.03924e-018,1.60659e-012,-9.58363e-018,28.7225,1.26106,18527,761,bicchiere
0.0281507, 0.00190034,4.34111e-007,3.42362e-009,2.94883e-009,-4.51441e-018,1.23673e-012,-8.21025e-018,28.9605,1.28266,18499.5,757,bicchiere
0.0333625, 0.00146506,5.0682e-007,6.1305e-010,8.76787e-010,6.12897e-019,6.22122e-013,-1.93844e-019,31.2709,1.47529,18598.5,762,bicchiere
0.0337974, 0.00157716,3.1229e-007,1.32882e-009,9.15396e-010,-2.84943e-019,3.43331e-013,-9.68549e-019,31.4321,1.49935,18531,761,bicchiere
0.0449044, 0.00204726,5.46286e-008,3.86317e-009,9.20495e-010,-6.81641e-019,-1.44187e-013,-1.59638e-018,35.1827,1.93655,24486.5,535,bicchiere
0.0205812, 0.00465573,3.56905e-006,2.00964e-008,1.68716e-008,2.59366e-016,3.15192e-011,-1.71003e-016,24.9223,1.0464,24376.5,532,bicchiere
0.0421253, 0.00191063,3.20852e-007,1.05554e-009,9.29113e-010,7.99572e-019,4.79409e-013,-4.5529e-019,34.1127,1.81685,24456.5,529,bicchiere
0.042966, 0.00189506,2.70667e-007,1.23837e-009,8.43673e-010,7.84216e-019,3.98958e-013,-3.58698e-019,34.4154,1.85099,24425,531,bicchiere
0.043611, 0.0019102,2.33695e-007,1.71087e-009,9.46297e-010,8.9443e-019,3.56041e-013,-8.06079e-019,34.6478,1.87429,24408.5,531,bicchiere
